Date,Harga
29/ 02/ 2024,"18,300"
01/ 03/ 2024,"18,400"
04/ 03/ 2024,"18,400"
05/ 03/ 2024,"18,450"
06/ 03/ 2024,"18,450"
07/ 03/ 2024,"18,450"
08/ 03/ 2024,"18,450"
11/ 03/ 2024,"18,450"
12/ 03/ 2024,"18,450"
13/ 03/ 2024,"18,500"
14/ 03/ 2024,"18,500"
15/ 03/ 2024,"18,550"
18/ 03/ 2024,"18,550"
19/ 03/ 2024,"18,550"
20/ 03/ 2024,"18,550"
21/ 03/ 2024,"18,600"
22/ 03/ 2024,"18,600"
25/ 03/ 2024,"18,600"
26/ 03/ 2024,"18,600"
27/ 03/ 2024,"18,650"
28/ 03/ 2024,"18,650"
29/ 03/ 2024,"18,600"
01/ 04/ 2024,"18,700"
02/ 04/ 2024,"18,700"
03/ 04/ 2024,"18,700"
04/ 04/ 2024,"18,700"
05/ 04/ 2024,"18,750"
08/ 04/ 2024,"18,700"
09/ 04/ 2024,"18,700"
10/ 04/ 2024,"18,700"
11/ 04/ 2024,"18,700"
12/ 04/ 2024,"18,700"
15/ 04/ 2024,"18,700"
16/ 04/ 2024,"18,750"
17/ 04/ 2024,"18,750"
18/ 04/ 2024,"18,800"
19/ 04/ 2024,"18,850"
22/ 04/ 2024,"18,900"
23/ 04/ 2024,"18,950"
24/ 04/ 2024,"18,950"
25/ 04/ 2024,"19,000"
26/ 04/ 2024,"19,000"
29/ 04/ 2024,"19,100"
30/ 04/ 2024,"19,100"
01/ 05/ 2024,"19,000"
02/ 05/ 2024,"19,150"
03/ 05/ 2024,"19,150"
06/ 05/ 2024,"19,200"
07/ 05/ 2024,"19,200"
08/ 05/ 2024,"19,200"
09/ 05/ 2024,"19,200"
10/ 05/ 2024,"19,200"
13/ 05/ 2024,"19,200"
14/ 05/ 2024,"19,250"
15/ 05/ 2024,"19,250"
16/ 05/ 2024,"19,250"
17/ 05/ 2024,"19,250"
20/ 05/ 2024,"19,250"
21/ 05/ 2024,"19,250"
22/ 05/ 2024,"19,250"
23/ 05/ 2024,"19,250"
24/ 05/ 2024,"19,250"
27/ 05/ 2024,"19,250"
28/ 05/ 2024,"19,250"
29/ 05/ 2024,"19,250"
30/ 05/ 2024,"19,250"
31/ 05/ 2024,"19,250"
03/ 06/ 2024,"19,250"
04/ 06/ 2024,"19,200"
05/ 06/ 2024,"19,300"
06/ 06/ 2024,"19,250"
07/ 06/ 2024,"19,200"
10/ 06/ 2024,"19,200"
11/ 06/ 2024,"19,200"
12/ 06/ 2024,"19,200"
13/ 06/ 2024,"19,150"
14/ 06/ 2024,"19,150"
17/ 06/ 2024,"19,250"
18/ 06/ 2024,"19,250"
19/ 06/ 2024,"19,200"
20/ 06/ 2024,"19,200"
21/ 06/ 2024,"19,150"
24/ 06/ 2024,"19,150"
25/ 06/ 2024,"19,150"
26/ 06/ 2024,"19,150"
27/ 06/ 2024,"19,150"
28/ 06/ 2024,"19,150"
01/ 07/ 2024,"19,150"
02/ 07/ 2024,"19,150"
03/ 07/ 2024,"19,150"
04/ 07/ 2024,"19,150"
05/ 07/ 2024,"19,150"
08/ 07/ 2024,"19,200"
09/ 07/ 2024,"19,200"
10/ 07/ 2024,"19,200"
11/ 07/ 2024,"19,200"
12/ 07/ 2024,"19,200"
15/ 07/ 2024,"19,200"
16/ 07/ 2024,"19,200"
17/ 07/ 2024,"19,200"
18/ 07/ 2024,"19,200"
19/ 07/ 2024,"19,200"
22/ 07/ 2024,"19,200"
23/ 07/ 2024,"19,150"
24/ 07/ 2024,"19,200"
25/ 07/ 2024,"19,200"
26/ 07/ 2024,"19,200"
29/ 07/ 2024,"19,200"
30/ 07/ 2024,"19,200"
31/ 07/ 2024,"19,200"
01/ 08/ 2024,"19,200"
02/ 08/ 2024,"19,200"
05/ 08/ 2024,"19,200"
06/ 08/ 2024,"19,200"
07/ 08/ 2024,"19,150"
08/ 08/ 2024,"19,200"
09/ 08/ 2024,"19,150"
12/ 08/ 2024,"19,200"
13/ 08/ 2024,"19,200"
14/ 08/ 2024,"19,200"
15/ 08/ 2024,"19,200"
16/ 08/ 2024,"19,200"
19/ 08/ 2024,"19,200"
20/ 08/ 2024,"19,200"
21/ 08/ 2024,"19,200"
22/ 08/ 2024,"19,150"
23/ 08/ 2024,"19,200"
26/ 08/ 2024,"19,200"
27/ 08/ 2024,"19,200"
28/ 08/ 2024,"19,250"
29/ 08/ 2024,"19,200"
30/ 08/ 2024,"19,200"
02/ 09/ 2024,"19,200"
03/ 09/ 2024,"19,200"
04/ 09/ 2024,"19,200"
05/ 09/ 2024,"19,200"
06/ 09/ 2024,"19,200"
09/ 09/ 2024,"19,200"
10/ 09/ 2024,"19,200"
11/ 09/ 2024,"19,200"
12/ 09/ 2024,"19,250"
13/ 09/ 2024,"19,250"
16/ 09/ 2024,"19,150"
17/ 09/ 2024,"19,200"
18/ 09/ 2024,"19,200"
19/ 09/ 2024,"19,200"
20/ 09/ 2024,"19,200"
23/ 09/ 2024,"19,250"
24/ 09/ 2024,"19,200"
25/ 09/ 2024,"19,250"
26/ 09/ 2024,"19,250"
27/ 09/ 2024,"19,250"
30/ 09/ 2024,"19,250"
01/ 10/ 2024,"19,250"
02/ 10/ 2024,"19,250"
03/ 10/ 2024,"19,250"
04/ 10/ 2024,"19,250"
07/ 10/ 2024,"19,250"
08/ 10/ 2024,"19,250"
09/ 10/ 2024,"19,250"
10/ 10/ 2024,"19,150"
11/ 10/ 2024,"19,250"
